user_id,timestamp,event_name_x,category,operating_system,country,region,page_location,order,fase,tiempo_total(min),tiempo(s)
11,2023-04-10 17:26:43.210444,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/work,1.0,work,6.258667,
11,2023-04-10 17:26:51.130673,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/fit,2.0,fit,6.258667,7.920229
11,2023-04-10 17:27:01.689933,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/highlight,3.0,highlight,6.258667,10.55926
11,2023-04-10 17:27:25.045049,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/body-shape,4.0,body-shape,6.258667,23.355116
11,2023-04-10 17:27:37.946196,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/eyes,5.0,eyes,6.258667,12.901147
11,2023-04-10 17:27:51.962910,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/hair,6.0,hair,6.258667,14.016714
11,2023-04-10 17:28:10.772039,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/sizes,7.0,sizes,6.258667,18.809129
11,2023-04-10 17:28:42.729959,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/measurements,8.0,measurements,6.258667,31.95792
11,2023-04-10 17:28:59.712939,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/focus,9.0,focus,6.258667,16.98298
11,2023-04-10 17:29:25.566030,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/adventurous,10.0,adventurous,6.258667,25.853091
11,2023-04-10 17:29:54.677854,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/styles,11.0,styles,6.258667,29.111824
11,2023-04-10 17:30:53.177545,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/prices,12.0,prices,6.258667,58.499691
11,2023-04-10 17:30:54.658633,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/avoid,13.0,avoid,6.258667,1.481088
11,2023-04-10 17:31:24.331554,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/footwear,14.0,footwear,6.258667,29.672921
11,2023-04-10 17:31:54.513116,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/you,15.0,you,6.258667,30.181562
11,2023-04-10 17:32:26.854650,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/photos,16.0,photos,6.258667,32.341534
11,2023-04-10 17:32:33.581280,page_view,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/register,18.0,register,6.258667,6.72663
11,2023-04-10 17:32:58.730464,signUp,mobile,Android,France,Bourgogne-Franche-Comte,https://lookiero.fr/user/quiz/register,18.0,register,6.258667,25.149184
28,2023-04-10 13:28:18.721406,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/measurements,8.0,measurements,2.9406617666666666,-176.439706
28,2023-04-10 13:28:18.721406,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/focus,9.0,focus,2.9406617666666666,0.0
28,2023-04-10 13:28:25.693074,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/adventurous,10.0,adventurous,2.9406617666666666,6.971668
28,2023-04-10 13:28:25.693074,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/styles,11.0,styles,2.9406617666666666,0.0
28,2023-04-10 13:28:58.781760,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/footwear,14.0,footwear,2.9406617666666666,33.088686
28,2023-04-10 13:29:08.882940,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/you,15.0,you,2.9406617666666666,10.10118
28,2023-04-10 13:29:08.882940,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/photos,16.0,photos,2.9406617666666666,0.0
28,2023-04-10 13:29:29.945773,user_engagement,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/register,18.0,register,2.9406617666666666,21.062833
28,2023-04-10 13:30:44.539669,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/work,1.0,work,2.9406617666666666,
28,2023-04-10 13:30:44.539669,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/fit,2.0,fit,2.9406617666666666,0.0
28,2023-04-10 13:31:15.161112,page_view,mobile,iOS,France,Auvergne-Rhone-Alpes,https://lookiero.fr/user/quiz/eyes,5.0,eyes,2.9406617666666666,30.621443
44,2023-06-29 14:49:28.946444,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/work,1.0,work,1.1565500499999999,
44,2023-06-29 14:49:33.955531,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/fit,2.0,fit,1.1565500499999999,5.009087
44,2023-06-29 14:49:33.955531,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/highlight,3.0,highlight,1.1565500499999999,0.0
44,2023-06-29 14:49:39.263328,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/body-shape,4.0,body-shape,1.1565500499999999,5.307797
44,2023-06-29 14:49:39.263328,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/eyes,5.0,eyes,1.1565500499999999,0.0
44,2023-06-29 14:49:52.852698,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/hair,6.0,hair,1.1565500499999999,13.58937
44,2023-06-29 14:49:52.852698,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/sizes,7.0,sizes,1.1565500499999999,0.0
44,2023-06-29 14:50:01.456787,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/measurements,8.0,measurements,1.1565500499999999,8.604089
44,2023-06-29 14:50:07.790684,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/focus,9.0,focus,1.1565500499999999,6.333897
44,2023-06-29 14:50:07.790684,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/adventurous,10.0,adventurous,1.1565500499999999,0.0
44,2023-06-29 14:50:07.790684,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/styles,11.0,styles,1.1565500499999999,0.0
44,2023-06-29 14:50:14.766168,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/footwear,14.0,footwear,1.1565500499999999,-0.002796
44,2023-06-29 14:50:14.768964,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/prices,12.0,prices,1.1565500499999999,6.97828
44,2023-06-29 14:50:14.768964,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/avoid,13.0,avoid,1.1565500499999999,0.0
44,2023-06-29 14:50:23.534527,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/you,15.0,you,1.1565500499999999,8.768359
44,2023-06-29 14:50:23.534527,page_view,desktop,Macintosh,Spain,Castile and Leon,https://lookiero.es/user/quiz/photos,16.0,photos,1.1565500499999999,-14.80492
